,행정구역, 총인구수(명), 남자인구수(명), 여자인구수(명)
0,서울특별시,51672400,4649442,4916548
1,부산광역시,9565990,1647291,1717067
2,대구광역시,2397646,1182380,1215266
3,인천광역시,2936367,1470544,1465823
4,광주광역시,1442647,713793,728854
5,대전광역시,1456107,726666,729441
6,울산광역시,1126369,578924,547445
7,세종특별자치시,362995,181328,181667
8,경기도,13500688,6795088,6705600
9,강원도,1535530,772949,762581
10,충청북도,1597503,810225,787278
11,충청남도,2117400,1082113,1035287
12,전라북도,1794345,892670,901675
13,전라남도,1840921,926398,914523
14,경상북도,2632401,1326844,1305557
15,경상남도,3325840,1674612,1651228
16,제주특별자치도,675293,338766,336527
